name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,category,year,,,,,,,,,,
Bumpkin,105-106 The Street,Stratford,,Newham,,,E09000025,Stratford and New Town,E05000492,-0.005952656,51.542481343500185,538264.0001221001,184558.00012210011,Pubs,2018,,,,,,,,,,
Cow,4 Chestnut Plaza,Westfield Stratford City,London,Newham,,,E09000025,Stratford and New Town,E05000492,-0.005713271,51.54201859634822,538282.0001221001,184507.00012210011,Pubs,2018,,,,,,,,,,
Four Quarters East,"Unit 8 Canalside, East Bay Lane, Here East,Queen Elizabeth Park",Stratford,Stratford,Hackney,,,E09000012,Hackney Wick,E05009374,-0.020669755,51.54701159367181,537230.0001221001,185034.00012210011,Pubs,2018,,,,,,,,,,
Marquis Of Cornwallis,304 Bethnal Green Road,Bethnal Green,London,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.063115944,51.52574876496486,534350.0001221001,182591.00012210011,Pubs,2018,,,,,,,,,,
Old George,379 Bethnal Green Road,Bethnal Green,London,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.057915877,51.52665206986348,534708.0001221001,182701.00012210011,Pubs,2018,,,,,,,,,,
Sun Tavern,441 Bethnal Green Road,Bethnal Green,London,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.057915877,51.52665206986348,534708.0001221001,182701.00012210011,Pubs,2018,,,,,,,,,,
Shakespeare,460 Bethnal Green Road,Bethnal Green,London,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.055657257,51.52653370439649,534865.0001221001,182692.00012210011,Pubs,2018,,,,,,,,,,
Bethnal Green Tavern,456 Bethnal Green Road,Bethnal Green,London,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.055657257,51.52653370439649,534865.0001221001,182692.00012210011,Pubs,2018,,,,,,,,,,
Salmon & Ball,502 Bethnal Green Road,Bethnal Green,London,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.055657257,51.52653370439649,534865.0001221001,182692.00012210011,Pubs,2018,,,,,,,,,,
OLd Street Brewery Taproom,"Arch 11, Gales Gardens",Bethnal Green,,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.055073188,51.526029370107416,534907.0001221001,182637.00012210011,Pubs,2018,,,,,,,,,,
Backyard Bar & Kitchen,231 Cambridge Heath Rd,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.054155529,51.52624798295503,534970.0001221001,182663.00012210011,Pubs,2018,,,,,,,,,,
Camel,277 Globe Road,Bethnal Green,London,Tower Hamlets,,,E09000030,Bethnal Green,E05009317,-0.049705239,51.527819897901345,535274.0001221001,182846.00012210011,Pubs,2018,,,,,,,,,,
Florist Arms,255 Globe Road,Bethnal Green,London,Tower Hamlets,,,E09000030,Bethnal Green,E05009317,-0.049705239,51.527819897901345,535274.0001221001,182846.00012210011,Pubs,2018,,,,,,,,,,
Casa Blue,120 Bethnal Green Road,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.069573114,51.524434235488336,533906.0001221001,182433.00012210011,Pubs,2018,,,,,,,,,,
Carpenter's Arms,73 Cheshire Street,Bethnal Green,London,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.065039486,51.52356808502735,534223.0001221001,182345.00012210011,Pubs,2018,,,,,,,,,,
Kings Arms,11a Buckfast Street,Bethnal Green,London,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.064667646,51.52485703145183,534245.0001221001,182489.00012210011,Pubs,2018,,,,,,,,,,
Star of Bethnal Green,359 Bethnal Green Road,Bethnal Green,London,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.060896931,51.526395612610656,534502.0001221001,182667.00012210011,Pubs,2018,,,,,,,,,,
Workers Arms,"Bethnal Green Working Men's Club, 42-44 Pollard Row",Bethnal Green,,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.061740133,51.52657143619285,534443.0001221001,182685.00012210011,Pubs,2018,,,,,,,,,,
Well & Bucket,143 Bethnal Green Road,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.06946842,51.52486420585077,533912.0001221001,182481.00012210011,Pubs,2018,,,,,,,,,,
Redchurch,107 Redchurch Street,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.070845532,51.52434724925009,533818.0001221001,182421.00012210011,Pubs,2018,,,,,,,,,,
Owl & Pussycat,34 Redchurch Street,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.072887627,51.52378724371341,533678.0001221001,182355.00012210011,Pubs,2018,,,,,,,,,,
Mikkeller Bar,2 Hackney Road,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.075105617,51.52691747047482,533515.0001221001,182699.00012210011,Pubs,2018,,,,,,,,,,
Birdcage,80 Columbia Road,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.069063858,51.52795134974244,533931.0001221001,182825.00012210011,Pubs,2018,,,,,,,,,,
Royal Oak,73 Columbia Road,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.067599349,51.52882659055109,534030.0001221001,182925.00012210011,Pubs,2018,,,,,,,,,,
Nelsons Head,32 Horatio Street,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.068270278,51.53034857,533979.0001221001,183093.00012210011,Pubs,2018,,,,,,,,,,
Marksman,254 Hackney Road,Bethnal Green,Shoreditch,Tower Hamlets,,,E09000030,Weavers,E05009335,-0.067112202,51.53045540096092,534059.0001221001,183107.00012210011,Pubs,2018,,,,,,,,,,
Spread Eagle,3 Kingsland Road,Bethnal Green,Haggerston,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,-0.076591229,51.527931140339405,533409.0001221001,182809.00012210011,Pubs,2018,,,,,,,,,,
Basing House,25 Kingsland Road,Bethnal Green,Haggerston,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,-0.076591229,51.527931140339405,533409.0001221001,182809.00012210011,Pubs,2018,,,,,,,,,,
Glory,281 Kingsland Road,Bethnal Green,Haggerston,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,-0.075514842,51.53533320429151,533462.0001221001,183634.00012210011,Pubs,2018,,,,,,,,,,
Old Shoreditch Station,1 Kingsland Road,Bethnal Green,Shoreditch,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,-0.076216962,51.527232494204554,533437.0001221001,182732.00012210011,Pubs,2018,,,,,,,,,,
Catch,22 Kingsland Road,Bethnal Green,Haggerston,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,-0.076216962,51.527232494204554,533437.0001221001,182732.00012210011,Pubs,2018,,,,,,,,,,
Troyganic,132 Kingsland Road,Bethnal Green,Haggerston,Hackney,,,E09000012,Haggerston,E05009375,-0.075559892,51.52913735256938,533477.0001221001,182945.00012210011,Pubs,2018,,,,,,,,,,
Brewhouse & Kitchen,397-400 Geffrye Street,Bethnal Green,Haggerston,Hackney,,,E09000012,Haggerston,E05009375,-0.073775003,51.531797139890784,533593.0001221001,183244.00012210011,Pubs,2018,,,,,,,,,,
Virgin Queen,94 Goldsmiths Row,Bethnal Green,Haggerston,Hackney,,,E09000012,Haggerston,E05009375,-0.062706792,51.53300885,534357.0001221001,183399.00012210011,Pubs,2018,,,,,,,,,,
Sebright Arms,31-35 Coate Street,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.061384905,51.531539037876286,534453.0001221001,183238.00012210011,Pubs,2018,,,,,,,,,,
Perseverance,112 Pritchards Road,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.060774859,51.533678427527235,534489.0001221001,183477.00012210011,Pubs,2018,,,,,,,,,,
Hare,505 Cambridge Heath Road,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.055947314,51.53292398831981,534826.0001221001,183402.00012210011,Pubs,2018,,,,,,,,,,
Victory,27 Vyner Street,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.053171278,51.53411006887645,535015.0001221001,183539.00012210011,Pubs,2018,,,,,,,,,,
Bistrotheque,23–27 Wadeson Street,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.054825328,51.53353493952542,534902.0001221001,183472.00012210011,Pubs,2018,,,,,,,,,,
Queen Adelaide,481 Hackney Road,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.057067873,51.53200721968756,534751.0001221001,183298.00012210011,Pubs,2018,,,,,,,,,,
Resident,"Arch 252, Paradise Row",Bethnal Green,,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.054480324,51.52742254,534944.0001221001,182793.00012210011,Pubs,2018,,,,,,,,,,
Mother Kelly's,251 Paradise Row,Bethnal Green,,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.054480324,51.52742254,534944.0001221001,182793.00012210011,Pubs,2018,,,,,,,,,,
Dundee Arms,339 Cambridge Heath Road,Bethnal Green,London,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.054534052,51.528529651553335,534937.0001221001,182916.00012210011,Pubs,2018,,,,,,,,,,
Approach Tavern,47 Approach Road,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,St. Peter's,E05009331,-0.050170785,51.53075956364905,535233.0001221001,183172.00012210011,Pubs,2018,,,,,,,,,,
Redchurch Brewery,275-276 poyser street,Bethnal Green,Cambridge Heath,Tower Hamlets,,,E09000030,Lansbury,E05009325,0.002910654,51.51472865980671,538963.0001221001,181489.00012210011,Pubs,2018,,,,,,,,,,
Little Driver,125 Bow Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.022307874,51.527199213953885,537176.0001221001,182828.00012210011,Pubs,2018,,,,,,,,,,
Coborn,8 Coborn Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.028614219,51.52673878731053,536740.0001221001,182765.00012210011,Pubs,2018,,,,,,,,,,
Lighthouse,421 Wick Lane,Bow,London,Tower Hamlets,,,E09000030,Bow East,E05009319,-0.020535626,51.53581223019104,537273.0001221001,183789.00012210011,Pubs,2018,,,,,,,,,,
Muller & Briggs,130 Cadogan Terrace,Hackney Wick,,Tower Hamlets,,,E09000030,Bow East,E05009319,-0.025784792,51.53881464624887,536900.0001221001,184113.00012210011,Pubs,2018,,,,,,,,,,
Old Wheatsheaf,3 Windmill Hill,Enfield,,Enfield,,,E09000010,Town,E05000210,-0.088061506,51.65324533825825,532249.0001221001,196722.00012210011,Pubs,2018,,,,,,,,,,
Bow Bells,116 Bow Road,Bow,Bromley By Bow,Tower Hamlets,,,E09000030,Bromley North,E05009321,-0.018710155,51.527372325942665,537425.0001221001,182854.00012210011,Pubs,2018,,,,,,,,,,
Galvanisers Union,"16 Newmill House, 2 Devas Street",Bow,Bromley By Bow,Tower Hamlets,,,E09000030,Bromley South,E05009322,-0.010750859,51.52241697636663,537992.0001221001,182318.00012210011,Pubs,2018,,,,,,,,,,
Beehive,104 Empson Street,Bow,Bromley By Bow,Tower Hamlets,,,E09000030,Bromley South,E05009322,-0.010799822,51.52129359525094,537992.0001221001,182193.00012210011,Pubs,2018,,,,,,,,,,
Widows Son,75 Devons Road,Bow,Bromley By Bow,Tower Hamlets,,,E09000030,Bromley South,E05009322,-0.016029501,51.52203872363817,537627.0001221001,182266.00012210011,Pubs,2018,,,,,,,,,,
Angel of Bow,171 Devons Road,Bow,London,Tower Hamlets,,,E09000030,Bromley South,E05009322,-0.018670376,51.51932230904611,537452.0001221001,181959.00012210011,Pubs,2018,,,,,,,,,,
Rusty Bike,588 Mile End Road,Bow,London,Tower Hamlets,,,E09000030,Mile End,E05009327,-0.031048013,51.52480106644581,536577.0001221001,182545.00012210011,Pubs,2018,,,,,,,,,,
New Globe,359 Mile End Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.034780875,51.524162171577586,536320.0001221001,182467.00012210011,Pubs,2018,,,,,,,,,,
Wentworth Arms,127 Eric Street,Bow,London,Tower Hamlets,,,E09000030,Mile End,E05009327,-0.031888408,51.523367192653915,536523.0001221001,182384.00012210011,Pubs,2018,,,,,,,,,,
Morgan Arms,43 Morgan Street,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.032885927,51.52664862779457,536444.0001221001,182747.00012210011,Pubs,2018,,,,,,,,,,
Lord Tredegar,50 Lichfield Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.030905693,51.528099351039394,536577.0001221001,182912.00012210011,Pubs,2018,,,,,,,,,,
Green Goose,112 Anglo Road,Bow,London,Tower Hamlets,,,E09000030,Bow East,E05009319,-0.026585837,51.53163320195397,536866.0001221001,183313.00012210011,Pubs,2018,,,,,,,,,,
Albert,74 St Stephens Road,Bow,London,Tower Hamlets,,,E09000030,Bow East,E05009319,-0.030600687,51.53215936300575,536586.0001221001,183364.00012210011,Pubs,2018,,,,,,,,,,
Eleanor Arms,460 Old Ford Road,Bow,London,Tower Hamlets,,,E09000030,Bow East,E05009319,-0.031451671,51.534494011558735,536520.0001221001,183622.00012210011,Pubs,2018,,,,,,,,,,
Young Prince,448 Roman Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.032419647,51.531443418840325,536462.0001221001,183281.00012210011,Pubs,2018,,,,,,,,,,
Lord Morpeth,402 Old Ford Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.034202723,51.53390160385493,536331.0001221001,183551.00012210011,Pubs,2018,,,,,,,,,,
East London Liquor Co,Grove Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.040157896,51.53156398755905,535925.0001221001,183280.00012210011,Pubs,2018,,,,,,,,,,
Crown,223 Grove Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.040157896,51.53156398755905,535925.0001221001,183280.00012210011,Pubs,2018,,,,,,,,,,
Victoria,110 Grove Road,Bow,London,Tower Hamlets,,,E09000030,Bow West,E05009320,-0.038100765,51.53010859833418,536072.0001221001,183122.00012210011,Pubs,2018,,,,,,,,,,
Bar One Twenty,120 Station Road,Chingford,London,Waltham Forest,,,E09000031,Chingford Green,E05000593,0.010336953,51.63285907809162,539117.0001221001,194638.00012210011,Pubs,2018,,,,,,,,,,
Mo-Bo's,160 Station Road,Chingford,London,Waltham Forest,,,E09000031,Chingford Green,E05000593,0.011589103,51.63339522772128,539202.0001221001,194700.00012210011,Pubs,2018,,,,,,,,,,
Essex House,,Chingford,London,Waltham Forest,,,E09000031,Chingford Green,E05000593,0.011589103,51.63339522772128,539202.0001221001,194700.00012210011,Pubs,2018,,,,,,,,,,
Queen Elizabeth,95 Forest Side,Chingford,London,Waltham Forest,,,E09000031,Chingford Green,E05000593,0.018396131,51.62818800891163,539689.0001221001,194134.00012210011,Pubs,2018,,,,,,,,,,
Dovecote,Friday Hill,Chingford,London,Waltham Forest,,,E09000031,Hatch Lane,E05000598,0.010062166,51.62239526105403,539130.0001221001,193474.00012210011,Pubs,2018,,,,,,,,,,
Larkshall,Larkshall Road,Chingford,London,Waltham Forest,,,E09000031,Larkswood,E05000602,0.001374965,51.616733863855465,538546.0001221001,192828.00012210011,Pubs,2018,,,,,,,,,,
Greene Man,191 Old Church Road,Chingford,London,Waltham Forest,,,E09000031,Endlebury,E05000594,-0.012008739,51.62552319183146,537593.0001221001,193780.00012210011,Pubs,2018,,,,,,,,,,
Bojangles Brasserie,1 Old Church Road,Chingford,London,Waltham Forest,,,E09000031,Larkswood,E05000602,-0.015593693,51.61754362,537369.0001221001,192886.00012210011,Pubs,2018,,,,,,,,,,
King's Head,2B Kings Head Hill,Chingford,London,Waltham Forest,,,E09000031,Chingford Green,E05000593,-0.000275088,51.631448486455966,538387.0001221001,194461.00012210011,Pubs,2018,,,,,,,,,,
Royal Oak,219 Kings Head Hill,Chingford,London,Waltham Forest,,,E09000031,Chingford Green,E05000593,-0.008847345,51.63403146368927,537786.0001221001,194732.00012210011,Pubs,2018,,,,,,,,,,
Royal Forest Hotel,4 Rangers Road,Chingford,London,Waltham Forest,,,E09000031,Chingford Green,E05000593,0.019170601,51.63391259469885,539725.0001221001,194772.00012210011,Pubs,2018,,,,,,,,,,
Old Hall Tavern,200 Hall Lane,Chingford,London,Waltham Forest,,,E09000031,Valley,E05000607,-0.026730085,51.61626543369325,536602.0001221001,192723.00012210011,Pubs,2018,,,,,,,,,,
Wishing Well,11 Hall Lane,Chingford,London,Waltham Forest,,,E09000031,Valley,E05000607,-0.017324738,51.61627780297314,537253.0001221001,192742.00012210011,Pubs,2018,,,,,,,,,,
Kings Ford,250-252 Chingford Mount Road,Chingford,London,Waltham Forest,,,E09000031,Larkswood,E05000602,-0.015452113,51.615490694527466,537385.0001221001,192658.00012210011,Pubs,2018,,,,,,,,,,
RnR (Wine Bar),225 Chingford Mount Road,Chingford,London,Waltham Forest,,,E09000031,Valley,E05000607,-0.016200883,51.61521555928807,537334.0001221001,192626.00012210011,Pubs,2018,,,,,,,,,,
County Arms,420 Hale End Road,Chingford,London,Waltham Forest,,,E09000031,Larkswood,E05000602,-0.01542435,51.61215361317166,537397.0001221001,192287.00012210011,Pubs,2018,,,,,,,,,,
Harvester,"Unit 5 Larkswood Leisure Park, 175 New Road",Chingford,London,Waltham Forest,,,E09000031,Larkswood,E05000602,-0.004050802,51.61654746031597,538171.0001221001,192797.00012210011,Pubs,2018,,,,,,,,,,
Glyn Arms,1 Mandeville Street,Clapton,London,Hackney,,,E09000012,King's Park,E05009379,-0.037243583,51.555393344591344,536056.0001221001,185935.00012210011,Pubs,2018,,,,,,,,,,
Elderfield,57 Elderfield Road,Clapton,London,Hackney,,,E09000012,Lea Bridge,E05009380,-0.045028458,51.55317600850373,535523.0001221001,185674.00012210011,Pubs,2018,,,,,,,,,,
Elephants Head,43 Lower Clapton Road,Clapton,London,Hackney,,,E09000012,Homerton,E05009376,-0.051163799,51.55038215655207,535106.0001221001,185352.00012210011,Pubs,2018,,,,,,,,,,
Biddle Bros. Builders Ltd.,88 Lower Clapton Road,Clapton,,Hackney,,,E09000012,Lea Bridge,E05009380,-0.051706706,51.55320617256903,535060.0001221001,185665.00012210011,Pubs,2018,,,,,,,,,,
Brew Club Tap Room,"Unit 9, Tram Depot, 38-40 Upper Clapton Road",Clapton,London,Hackney,,,E09000012,Lea Bridge,E05009380,-0.053908723,51.55941232965801,534889.0001221001,186351.00012210011,Pubs,2018,,,,,,,,,,
Mermaid,181 Clarence Road,Clapton,London,Hackney,,,E09000012,Hackney Downs,E05009373,-0.054681775,51.554145912547185,534851.0001221001,185764.00012210011,Pubs,2018,,,,,,,,,,
Clapton Hart,231 Lower Clapton Road,Clapton,London,Hackney,,,E09000012,Hackney Downs,E05009373,-0.054478224,51.556211063658935,534859.0001221001,185994.00012210011,Pubs,2018,,,,,,,,,,
Star By Hackney Downs,35 Queensdown Road,Clapton,London,Hackney,,,E09000012,Hackney Downs,E05009373,-0.056375959,51.553661360212786,534735.0001221001,185707.00012210011,Pubs,2018,,,,,,,,,,
London Tavern,92 Rendlesham Road,Clapton,London,Hackney,,,E09000012,Hackney Downs,E05009373,-0.061501173,51.5583239,534366.0001221001,186216.00012210011,Pubs,2018,,,,,,,,,,
Royal Sovereign,64 Northwold Road,Clapton,London,Hackney,,,E09000012,Hackney Downs,E05009373,-0.060847308,51.56216235,534400.0001221001,186644.00012210011,Pubs,2018,,,,,,,,,,
Anchor & Hope,15 High Hill Ferry,Clapton,London,Hackney,,,E09000012,Springfield,E05009383,-0.050668906,51.567353839642955,535090.0001221001,187240.00012210011,Pubs,2018,,,,,,,,,,
Crooked Billet,84 Upper Clapton Road,Clapton,London,Hackney,,,E09000012,Lea Bridge,E05009380,-0.055323799,51.560739865867674,534787.0001221001,186496.00012210011,Pubs,2018,,,,,,,,,,
Princess Of Wales,146 Lea Bridge Road,Clapton,London,Hackney,,,E09000012,Lea Bridge,E05009380,-0.045178546,51.56077810470233,535490.0001221001,186519.00012210011,Pubs,2018,,,,,,,,,,
Denmark Arms,381 Barking Road,East Ham,London,Newham,,,E09000025,East Ham Central,E05000480,0.054317511,51.53243847433686,542474.0001221001,183557.00012210011,Pubs,2018,,,,,,,,,,
Boleyn Tavern,1 Barking Road,East Ham,London,Newham,,,E09000025,Boleyn,E05000476,0.040760532,51.53013892016741,541541.0001221001,183275.00012210011,Pubs,2018,,,,,,,,,,
Overdraft Tavern,200-202 High Street,East Ham,London,Newham,,,E09000025,East Ham Central,E05000480,0.053118379,51.53847629422814,542372.0001221001,184226.00012210011,Pubs,2018,,,,,,,,,,
Miller's Well,419-421 Barking Road,East Ham,London,Newham,,,E09000025,East Ham Central,E05000480,0.058425233,51.533031989417296,542757.0001221001,183631.00012210011,Pubs,2018,,,,,,,,,,
Tollgate Tavern,"16 Mary Rose Mall, Frobisher Road",Beckton,London,Newham,,,E09000025,Beckton,E05000475,0.05939404,51.51392118966175,542884.0001221001,181508.00012210011,Pubs,2018,,,,,,,,,,
Red Lion,80 High Street South,East Ham,London,Newham,,,E09000025,East Ham Central,E05000480,0.057209606,51.530058394963305,542682.0001221001,183298.00012210011,Pubs,2018,,,,,,,,,,
Winsor House,Winsor Terrace,East Ham,London,Newham,,,E09000025,Beckton,E05000475,0.069013147,51.51466023660745,543549.0001221001,181609.00012210011,Pubs,2018,,,,,,,,,,
Wanstead Tap,Arch 352 Winchelsea Road,Forest Gate,,Waltham Forest,,,E09000031,Cann Hall,E05000590,0.020516716,51.55490733536538,540061.0001221001,185990.00012210011,Pubs,2018,,,,,,,,,,
Holly Tree,141 Dames Road,Forest Gate,London,Waltham Forest,,,E09000031,Cann Hall,E05000590,0.022047171,51.5552587,540166.0001221001,186032.00012210011,Pubs,2018,,,,,,,,,,
Forest Gate Hotel,105 Godwin Road,Forest Gate,London,Newham,,,E09000025,Forest Gate North,E05000483,0.0354718,51.55315583123427,541103.0001221001,185824.00012210011,Pubs,2018,,,,,,,,,,
Rising Sun,528 Romford Road,Forest Gate,London,Newham,,,E09000025,Manor Park,E05000488,0.038695191,51.54748777432891,541344.0001221001,185200.00012210011,Pubs,2018,,,,,,,,,,
Fox & Hounds,178 Forest Lane,Forest Gate,London,Newham,,,E09000025,Forest Gate North,E05000483,0.023782601,51.54885224156623,540306.0001221001,185323.00012210011,Pubs,2018,,,,,,,,,,
Forest Tavern,173 Forest Lane,Forest Gate,London,Newham,,,E09000025,Forest Gate North,E05000483,0.023782601,51.54885224156623,540306.0001221001,185323.00012210011,Pubs,2018,,,,,,,,,,
Pretty Decent Beer Co,Arch 338 Sheridan Road,London,Forest Gate,Waltham Forest,,,E09000031,Cann Hall,E05000590,0.019670368,51.55566838617282,540000.0001221001,186073.00012210011,Pubs,2018,,,,,,,,,,
Hudson Bay,1-5 Upton Lane,Forest Gate,London,Newham,,,E09000025,Forest Gate South,E05000484,0.027931064,51.544499588726346,540607.0001221001,184847.00012210011,Pubs,2018,,,,,,,,,,
Spurstowe Arms,68 Greenwood Road,Hackney,London,Hackney,,,E09000012,Hackney Central,E05009372,-0.06117215,51.544009658623246,534431.0001221001,184625.00012210011,Pubs,2018,,,,,,,,,,
Experiment,19 Bohemia Place,Hackney,,Hackney,,,E09000012,Hackney Central,E05009372,-0.051749106,51.54681242357705,535076.0001221001,184954.00012210011,Pubs,2018,,,,,,,,,,
Stage 3,289 Mare Street,Hackney,London,Hackney,,,E09000012,Hackney Central,E05009372,-0.05387963,51.54556170440253,534932.0001221001,184811.00012210011,Pubs,2018,,,,,,,,,,
Cock Tavern,315 Mare Street,Hackney,London,Hackney,,,E09000012,Hackney Central,E05009372,-0.05387963,51.54556170440253,534932.0001221001,184811.00012210011,Pubs,2018,,,,,,,,,,
Old Ship Inn,2 Sylvester Path,Hackney,London,Hackney,,,E09000012,Hackney Central,E05009372,-0.054434648,51.54540003289453,534894.0001221001,184792.00012210011,Pubs,2018,,,,,,,,,,
Baxters Court,282-284 Mare Street,Hackney,London,Hackney,,,E09000012,Homerton,E05009376,-0.053361219,51.54452783072845,534971.0001221001,184697.00012210011,Pubs,2018,,,,,,,,,,
Hackney Picturehouse,270 Mare Street,Hackney,London,Hackney,,,E09000012,Homerton,E05009376,-0.053361219,51.54452783072845,534971.0001221001,184697.00012210011,Pubs,2018,,,,,,,,,,
Flynn's,418 Mare Street,Hackney,London,Hackney,,,E09000012,Hackney Central,E05009372,-0.053179354,51.54878778254993,534971.0001221001,185171.00012210011,Pubs,2018,,,,,,,,,,
Pembury Tavern,90 Amhurst Road,Hackney,London,Hackney,,,E09000012,Hackney Central,E05009372,-0.056531833,51.54831275195789,534740.0001221001,185112.00012210011,Pubs,2018,,,,,,,,,,
Oslo,1a Amhurst Road,Hackney,London,Hackney,,,E09000012,Hackney Central,E05009372,-0.055833459,51.547437793275265,534791.0001221001,185016.00012210011,Pubs,2018,,,,,,,,,,
Three Compasses,99 Dalston Lane,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.066315927,51.54788087031052,534063.0001221001,185046.00012210011,Pubs,2018,,,,,,,,,,
Hand of Glory,240 Amhurst Road,Hackney,London,Hackney,,,E09000012,Shacklewell,E05009382,-0.066551527,51.55355071320505,534030.0001221001,185676.00012210011,Pubs,2018,,,,,,,,,,
Autumn Yard,17 Amhurst Terrace,Hackney,London,Hackney,,,E09000012,Shacklewell,E05009382,-0.065526269,51.55425329718792,534099.0001221001,185756.00012210011,Pubs,2018,,,,,,,,,,
Brewers Bar,77 Shacklewell Lane,Hackney,Dalston,Hackney,,,E09000012,Shacklewell,E05009382,-0.06884017,51.55231132360858,533875.0001221001,185534.00012210011,Pubs,2018,,,,,,,,,,
Shacklewell Arms,71 Shacklewell Lane,Hackney,Shacklewell,Hackney,,,E09000012,Shacklewell,E05009382,-0.06884017,51.55231132360858,533875.0001221001,185534.00012210011,Pubs,2018,,,,,,,,,,
Kingsland,37 Kingsland High Street,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.074195605,51.54676938504315,533520.0001221001,184908.00012210011,Pubs,2018,,,,,,,,,,
Alibi,91 Kingsland High Street,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.073958834,51.54895993142524,533530.0001221001,185152.00012210011,Pubs,2018,,,,,,,,,,
Dalston Superstore,117 Kingsland High Street,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.073958834,51.54895993142524,533530.0001221001,185152.00012210011,Pubs,2018,,,,,,,,,,
Prince George,40 Parkholme Road,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.067038117,51.54411546445965,534024.0001221001,184626.00012210011,Pubs,2018,,,,,,,,,,
Victoria,451 Queensbridge Road,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.068617532,51.54428538,533914.0001221001,184642.00012210011,Pubs,2018,,,,,,,,,,
Farr's school of Dancing,17-19 Dalston Lane,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.071709163,51.54587414656068,533695.0001221001,184813.00012210011,Pubs,2018,,,,,,,,,,
Dalston Eastern Curve Garden Cafe,13 Dalston Lane,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.071709163,51.54587414656068,533695.0001221001,184813.00012210011,Pubs,2018,,,,,,,,,,
40ft Brewery Tap,18a Ashwin Street,Hackney,Dalston,Hackney,,,E09000012,Dalston,E05009370,-0.073741552,51.546591051624326,533552.0001221001,184889.00012210011,Pubs,2018,,,,,,,,,,
